zip	city	state_id	population
21122	Pasadena	MD	59664
21128	Perry Hall	MD	13967
21130	Perryman	MD	104
21131	Phoenix	MD	7587
21132	Pylesville	MD	3162
21133	Randallstown	MD	32714
21136	Reisterstown	MD	34347
21140	Riva	MD	3862
21144	Severn	MD	35680
21146	Severna Park	MD	27634
21152	Sparks Glencoe	MD	5349
21153	Stevenson	MD	348
21154	Street	MD	6467
21155	Upperco	MD	2363
21156	Upper Falls	MD	371
21157	Westminster	MD	38714
21158	Westminster	MD	20773
21160	Whiteford	MD	2615
21161	White Hall	MD	5738
21162	White Marsh	MD	4089
21163	Woodstock	MD	6602
21201	Baltimore	MD	17534
21202	Baltimore	MD	21880
21204	Towson	MD	21518
21205	Baltimore	MD	15900
21206	Baltimore	MD	51670
21207	Gwynn Oak	MD	50440
21208	Pikesville	MD	35273
21209	Baltimore	MD	28621
21210	Baltimore	MD	16076
21211	Baltimore	MD	15735
21212	Baltimore	MD	33865
21213	Baltimore	MD	30596
21214	Baltimore	MD	21666
21215	Baltimore	MD	55081
21216	Baltimore	MD	28733
21217	Baltimore	MD	32830
21218	Baltimore	MD	46172
21219	Sparrows Point	MD	9454
21220	Middle River	MD	41067
21221	Essex	MD	41899
21222	Dundalk	MD	56946
21223	Baltimore	MD	21974
21224	Baltimore	MD	48770
21225	Brooklyn	MD	33227
21226	Curtis Bay	MD	6699
21227	Halethorpe	MD	33396
21228	Catonsville	MD	49438
21229	Baltimore	MD	45983
21230	Baltimore	MD	33592
21231	Baltimore	MD	15906
21234	Parkville	MD	68678
21236	Nottingham	MD	37803
21237	Rosedale	MD	31105
21239	Baltimore	MD	30143
21240	Baltimore	MD	0
21244	Windsor Mill	MD	36897
21250	Baltimore	MD	2443
21251	Baltimore	MD	1652
21252	Towson	MD	2040
21286	Towson	MD	19711
21401	Annapolis	MD	38788
21402	Annapolis	MD	6460
21403	Annapolis	MD	31218
21405	Annapolis	MD	398
21409	Annapolis	MD	19304
21502	Cumberland	MD	41735
21520	Accident	MD	2003
21521	Barton	MD	1183
21523	Bloomington	MD	180
21524	Corriganville	MD	831
21529	Ellerslie	MD	467
21530	Flintstone	MD	1923
21531	Friendsville	MD	1744
21532	Frostburg	MD	14498
